latitude,longitude,walkscore,bikescore,transitscore
44.90842,-92.97602,21,NaN,None
44.92186,-92.95309,49,NaN,None
44.97650,-92.95079,9,NaN,None
44.88072,-92.91878,1,NaN,None
44.90372,-92.88992,2,NaN,None
44.89541,-92.87271,0,NaN,None
44.92780,-92.87209,0,NaN,None
44.93452,-93.17793,72,72.0,None
44.96138,-93.15556,63,73.0,None
44.92533,-93.15528,76,61.0,None
44.95927,-93.14816,65,68.0,None
44.97761,-93.12908,37,70.0,None
45.00042,-93.07260,13,NaN,None
44.95300,-93.06363,57,60.0,None
44.98884,-93.04418,35,55.0,None
44.97950,-93.03789,65,66.0,None
44.94528,-93.03202,19,32.0,None
44.97011,-93.02447,50,46.0,None
44.97010,-93.01075,22,53.0,None
45.03325,-92.99846,13,NaN,None
44.91908,-92.99758,2,NaN,None
44.92157,-92.99572,7,NaN,None
44.97551,-92.98899,45,NaN,None
44.90762,-92.97621,17,NaN,None
44.89367,-92.95458,4,NaN,None
44.92318,-92.90911,8,NaN,None
44.91768,-92.87831,5,NaN,None
44.91262,-93.17282,45,45.0,None
44.90606,-93.15378,28,52.0,None
44.99573,-93.09556,28,NaN,None
44.95212,-93.09167,95,56.0,None
45.02209,-93.04578,14,NaN,None
44.98470,-93.04278,48,65.0,None
44.91926,-93.00133,2,NaN,None
44.91453,-92.98628,5,NaN,None
44.89073,-92.97759,1,NaN,None
44.94258,-92.97498,20,NaN,None
44.90759,-92.97432,19,NaN,None
44.96821,-92.97324,22,NaN,None
44.89985,-92.96956,7,NaN,None
44.90213,-92.96732,14,NaN,None
45.01804,-92.96583,9,NaN,None
44.92264,-92.92080,21,NaN,None
44.89568,-92.89269,2,NaN,None
44.92594,-93.19032,56,76.0,None
44.91696,-93.17229,55,54.0,None
44.94583,-93.16826,83,80.0,None
44.98563,-93.15955,51,62.0,None
44.93328,-93.11574,55,73.0,None
44.94420,-93.11093,78,66.0,None
44.96456,-93.09689,57,54.0,None
44.92647,-93.09475,47,41.0,None
44.96342,-93.07620,79,78.0,None
44.96777,-93.07124,82,68.0,None
44.94878,-93.05722,58,70.0,None
45.03359,-93.03291,50,NaN,None
45.00133,-93.02762,17,NaN,None
44.98392,-93.01361,21,57.0,None
44.99819,-93.00980,24,NaN,None
44.96416,-93.00663,40,63.0,None
44.90584,-92.95998,18,NaN,None
44.95525,-92.95224,25,NaN,None
44.91280,-92.91743,7,NaN,None
44.95360,-92.90590,11,NaN,None
44.93643,-92.90444,28,NaN,None
44.92883,-92.88002,2,NaN,None
44.92915,-92.87838,1,NaN,None
44.96725,-93.20661,71,85.0,None
44.94285,-93.18391,70,75.0,None
44.94834,-93.17258,77,77.0,None
44.92632,-93.16830,69,67.0,None
44.98390,-93.16408,62,61.0,None
44.95745,-93.15388,72,76.0,None
44.95325,-93.13388,75,66.0,None
44.94023,-93.12666,87,74.0,None
44.93326,-93.07959,74,55.0,None
44.95811,-93.07824,71,65.0,None
44.97314,-93.07484,84,50.0,None
44.97588,-93.06480,81,53.0,None
44.98026,-93.05272,49,69.0,None
44.99590,-93.04301,29,NaN,None
44.96933,-93.03827,41,51.0,None
44.97403,-93.02899,47,47.0,None
44.95930,-93.02099,44,57.0,None
44.90757,-92.97429,19,NaN,None
45.01858,-92.96677,9,NaN,None
44.92980,-92.92893,28,NaN,None
44.92740,-92.91980,6,NaN,None
44.87474,-92.91114,0,NaN,None
44.93739,-92.90530,34,NaN,None
44.91603,-92.90124,17,NaN,None
44.91890,-92.89251,15,NaN,None
44.90119,-92.87365,6,NaN,None
44.93254,-93.19672,30,68.0,None
44.95305,-93.18838,53,70.0,None
44.90270,-93.18775,29,54.0,None
44.92497,-93.16834,65,64.0,None
44.92626,-93.15591,77,64.0,None
44.92443,-93.15222,70,59.0,None
44.95798,-93.11636,86,83.0,None
44.97679,-93.11474,52,51.0,None
44.92504,-93.10054,64,59.0,None
44.91969,-93.07952,57,39.0,None
44.98985,-93.07946,17,50.0,None
44.98222,-93.06493,70,73.0,None
44.95419,-93.02992,49,42.0,None
44.96301,-93.02873,43,52.0,None
44.98558,-92.98459,24,NaN,None
44.99124,-92.97405,5,NaN,None
44.97852,-92.94631,0,NaN,None
44.92645,-92.93763,34,NaN,None
44.86956,-92.92027,0,NaN,None
44.92578,-92.91731,5,NaN,None
44.93386,-92.89559,6,NaN,None
44.93992,-92.89184,30,NaN,None
44.89605,-92.88472,1,NaN,None
44.90755,-92.86903,10,NaN,None
44.93695,-93.19162,50,82.0,None
44.91262,-93.17091,42,43.0,None
44.96280,-93.13603,48,62.0,None
44.99162,-93.13364,28,44.0,None
44.93348,-93.08246,77,45.0,None
