latitude,longitude,walkscore,bikescore,transitscore
44.92947,-93.06996,52,48.0,None
44.96214,-93.04235,42,57.0,None
44.94589,-93.02890,36,43.0,None
44.96934,-92.95009,26,NaN,None
44.98870,-92.94727,7,NaN,None
44.89876,-92.93498,4,NaN,None
44.90656,-92.93323,5,NaN,None
44.94020,-92.92452,58,NaN,None
44.91779,-92.92029,24,NaN,None
44.91435,-92.88748,8,NaN,None
44.89792,-92.88605,1,NaN,None
44.90438,-93.18559,32,64.0,None
44.90008,-93.17620,60,72.0,None
44.96008,-93.17142,81,79.0,None
44.95119,-93.16252,75,79.0,None
44.93316,-93.15661,61,68.0,None
44.92851,-93.14042,59,69.0,None
44.92485,-93.13803,65,62.0,None
44.92127,-93.13313,62,72.0,None
44.97270,-93.13065,45,68.0,None
44.98647,-93.13029,22,42.0,None
44.93527,-93.11866,55,79.0,None
44.93860,-93.10963,70,78.0,None
44.99410,-93.07611,16,NaN,None
44.99125,-93.07470,22,48.0,None
44.97531,-93.03849,66,69.0,None
44.93207,-92.96987,28,NaN,None
44.95361,-92.96546,38,NaN,None
45.00547,-92.96359,10,NaN,None
45.01267,-92.95574,0,NaN,None
44.94212,-92.94965,40,NaN,None
44.94467,-92.94885,36,NaN,None
44.91279,-92.93390,38,NaN,None
44.91367,-92.93027,35,NaN,None
44.90670,-92.93021,8,NaN,None
44.92888,-92.88308,3,NaN,None
44.95720,-93.19815,43,63.0,None
44.97875,-93.18968,65,75.0,None
44.95316,-93.18846,53,70.0,None
44.93597,-93.15701,60,69.0,None
44.98882,-93.12012,18,26.0,None
44.97008,-93.09567,30,57.0,None
44.92822,-93.09079,51,43.0,None
44.95118,-93.08949,96,65.0,None
44.99663,-93.07991,15,NaN,None
44.92640,-93.07431,61,45.0,None
44.96395,-93.00424,39,61.0,None
44.90470,-92.95959,14,NaN,None
44.94431,-92.95002,35,NaN,None
44.87528,-92.91093,0,NaN,None
44.93985,-92.90226,48,NaN,None
44.92454,-92.88054,3,NaN,None
44.95607,-93.19460,47,57.0,None
44.93692,-93.15605,67,70.0,None
44.94220,-93.13925,87,72.0,None
44.97228,-93.13727,35,68.0,None
44.96887,-93.10462,69,53.0,None
44.99702,-93.09218,23,NaN,None
44.92465,-93.08793,46,35.0,None
45.00494,-93.08777,23,NaN,None
44.98556,-93.07456,51,58.0,None
44.98732,-93.07196,41,52.0,None
44.94418,-93.02317,36,58.0,None
44.95835,-93.01439,52,67.0,None
44.98375,-93.01285,21,57.0,None
44.96034,-93.00504,43,64.0,None
44.98244,-92.97691,28,NaN,None
44.97987,-92.96795,3,NaN,None
44.91287,-92.96123,20,NaN,None
44.96641,-92.95108,31,NaN,None
45.01461,-92.94652,1,NaN,None
44.92662,-92.93991,10,NaN,None
44.87339,-92.92250,0,NaN,None
44.96860,-93.20027,78,88.0,None
44.95931,-93.14655,68,68.0,None
44.97427,-93.14303,37,71.0,None
44.97268,-93.13658,33,64.0,None
44.98834,-93.13522,24,45.0,None
44.98581,-93.12903,22,41.0,None
44.94199,-93.12849,89,69.0,None
44.94571,-93.12536,86,61.0,None
44.93961,-93.10851,78,79.0,None
44.98365,-93.07962,41,49.0,None
44.99217,-93.04821,22,NaN,None
44.95038,-92.97050,20,NaN,None
44.93120,-92.97023,32,NaN,None
44.90583,-92.96740,20,NaN,None
44.96825,-92.96225,44,NaN,None
44.91694,-92.94976,22,NaN,None
44.90735,-92.94809,6,NaN,None
44.96124,-92.94576,29,NaN,None
44.93618,-92.91323,24,NaN,None
44.93313,-93.17740,68,73.0,None
44.91863,-93.17614,59,58.0,None
44.98720,-93.16209,54,56.0,None
44.96134,-93.15734,66,75.0,None
44.93303,-93.15572,61,68.0,None
44.94573,-93.14893,76,77.0,None
44.91821,-93.14348,52,68.0,None
44.93315,-93.14129,51,55.0,None
44.99120,-93.13251,24,44.0,None
44.94637,-93.12171,83,63.0,None
44.98535,-93.07821,40,54.0,None
44.97943,-93.05441,60,73.0,None
44.94306,-93.02380,32,54.0,None
44.97052,-92.96423,42,NaN,None
44.98429,-92.95623,1,NaN,None
45.01049,-92.94378,2,NaN,None
44.93119,-92.93752,7,NaN,None
44.90680,-92.93524,2,NaN,None
44.93979,-92.89159,30,NaN,None
44.92715,-92.88833,4,NaN,None
44.91119,-93.18445,63,57.0,None
44.90985,-93.18359,52,53.0,None
44.94504,-93.17911,78,78.0,None
44.92570,-93.16582,66,64.0,None
44.98956,-93.15562,63,57.0,None
44.97326,-93.14280,36,72.0,None
44.94298,-93.12675,87,68.0,None
44.96955,-93.11116,63,53.0,None
44.99834,-93.09810,24,NaN,None
44.99332,-93.09497,35,NaN,None
44.98907,-93.08118,17,51.0,None
45.03065,-93.05136,9,NaN,None
44.94870,-93.03246,45,48.0,None
44.98092,-93.01655,20,53.0,None
44.96374,-93.00730,41,63.0,None
45.03124,-93.00617,47,NaN,None
44.90954,-92.97592,23,NaN,None
45.01994,-92.95770,1,NaN,None
44.91474,-92.95630,17,NaN,None
44.97071,-92.95570,33,NaN,None
44.93337,-92.95342,38,NaN,None
44.93046,-92.91750,7,NaN,None
44.89998,-92.89090,1,NaN,None
44.90677,-93.18778,41,61.0,None
44.99080,-93.14091,59,53.0,None
44.98007,-93.13281,25,61.0,None
44.94663,-93.11258,77,76.0,None
44.97705,-93.11219,55,50.0,None
44.95549,-93.04722,40,54.0,None
44.98945,-93.02074,67,62.0,None
44.98634,-93.01815,53,63.0,None
45.01110,-93.01692,12,NaN,None
44.97303,-93.01317,22,52.0,None
44.92249,-93.00715,2,29.0,None
45.00258,-92.98248,14,NaN,None
44.98604,-92.97604,5,NaN,None
44.97595,-92.94986,9,NaN,None
44.91413,-92.93207,47,NaN,None
45.01752,-92.86367,10,NaN,None
44.92910,-93.19015,51,75.0,None
44.97605,-93.18876,60,76.0,None
44.91261,-93.18614,72,63.0,None
44.96506,-93.17968,46,76.0,None
44.90232,-93.15996,51,60.0,None
44.92932,-93.15028,64,68.0,None
44.96019,-93.14017,67,62.0,None
44.97116,-93.13351,41,60.0,None
44.94821,-93.12680,84,60.0,None
44.97670,-93.09873,57,65.0,None
45.00487,-93.07875,18,NaN,None
44.98408,-93.07642,53,56.0,None
45.01071,-93.03770,25,NaN,None
44.94736,-93.03239,31,43.0,None
44.96558,-93.02766,47,46.0,None
44.99855,-93.00715,30,NaN,None
44.96389,-92.99965,33,NaN,None
44.95583,-92.96790,41,NaN,None
44.90151,-92.96332,15,NaN,None
44.97315,-92.96286,21,NaN,None
44.94179,-92.94941,40,NaN,None
45.03160,-92.94284,0,NaN,None
44.93180,-92.90846,14,NaN,None
45.01341,-92.90506,0,NaN,None
44.94120,-92.89290,39,NaN,None
44.92740,-92.88815,4,NaN,None
44.91323,-93.16971,40,45.0,None
44.92318,-93.16309,66,63.0,None
44.96137,-93.15239,53,69.0,None
44.98806,-93.14392,58,67.0,None
44.92172,-93.14074,56,66.0,None
44.94291,-93.12896,87,67.0,None
44.93205,-93.08733,74,53.0,None
44.96810,-93.08552,60,67.0,None
44.98133,-93.02566,59,58.0,None
44.94492,-93.01351,51,68.0,None
44.92337,-92.99871,9,NaN,None
45.02025,-92.98126,37,NaN,None
45.01920,-92.95812,1,NaN,None
44.96565,-92.95110,34,NaN,None
44.94109,-92.94725,41,NaN,None
44.93886,-92.90243,44,NaN,None
44.90121,-92.89923,8,NaN,None
44.91134,-92.88637,5,NaN,None
44.90272,-92.87329,8,NaN,None
44.90279,-92.87329,8,NaN,None
44.92884,-92.87325,0,NaN,None
45.01081,-92.86622,12,NaN,None
44.92704,-93.15336,75,64.0,None
44.92615,-93.14246,55,67.0,None
44.92161,-93.13133,59,77.0,None
44.92484,-93.12800,64,83.0,None
44.98707,-93.08262,28,60.0,None
45.08642,-93.06363,0,NaN,None
44.97662,-93.03837,66,69.0,None
45.01473,-93.03383,19,NaN,None
45.03484,-93.02951,48,NaN,None
44.96301,-93.02880,43,52.0,None
44.96301,-93.02827,43,52.0,None
44.98329,-93.02047,52,61.0,None
45.00559,-93.01640,31,NaN,None
44.99177,-93.01455,47,NaN,None
44.98815,-92.99741,10,NaN,None
45.00831,-92.96065,8,NaN,None
44.99259,-92.95216,5,NaN,None
44.96187,-92.93109,14,NaN,None
44.99041,-92.91400,0,NaN,None
44.89888,-92.88534,2,NaN,None
44.91414,-93.18022,65,53.0,None
44.90704,-93.17563,43,31.0,None
44.93071,-93.14975,57,68.0,None
44.94846,-93.14872,67,74.0,None
44.96036,-93.14785,55,66.0,None
44.95121,-93.13853,72,59.0,None
44.92525,-93.13819,65,62.0,None
44.96579,-93.01259,36,59.0,None
44.90803,-92.96946,22,NaN,None
44.90438,-92.93199,2,NaN,None
44.92496,-92.92841,30,NaN,None
44.91173,-92.87737,9,NaN,None
44.90268,-92.87329,8,NaN,None
44.93530,-93.17832,74,71.0,None
44.95668,-93.15882,84,79.0,None
44.94389,-93.15246,67,79.0,None
44.94951,-93.14017,73,58.0,None
44.93720,-93.11155,63,72.0,None
44.97521,-93.09650,46,66.0,None
44.92378,-93.07145,35,25.0,None
44.99032,-93.07142,19,43.0,None
44.94973,-93.04670,37,52.0,None
44.97641,-93.00914,6,48.0,None
44.98971,-92.99967,19,NaN,None
44.95152,-92.97262,10,NaN,None
44.89553,-92.95334,4,NaN,None
44.94290,-92.92430,59,NaN,None
44.89312,-92.92182,12,NaN,None
44.94296,-92.89952,53,NaN,None
44.93361,-92.88653,2,NaN,None
44.89437,-92.88488,1,NaN,None
44.91443,-92.87415,5,NaN,None
44.90327,-92.87207,11,NaN,None
44.90188,-93.17242,69,54.0,None
44.94491,-93.14502,79,74.0,None
44.97665,-93.11242,54,51.0,None
44.94276,-93.11210,65,63.0,None
44.96730,-93.10221,65,53.0,None
44.96296,-93.05532,60,63.0,None
44.95515,-93.04690,40,54.0,None
45.01668,-93.03757,11,NaN,None
44.97449,-93.02667,46,48.0,None
44.96973,-93.02329,50,46.0,None
44.96599,-93.02294,44,52.0,None
44.96709,-93.01126,34,57.0,None
44.97975,-92.96791,3,NaN,None
44.98201,-92.96616,2,NaN,None
44.99020,-92.93027,1,NaN,None
44.89879,-92.92581,10,NaN,None
44.92288,-92.92078,13,NaN,None
44.89840,-92.87770,5,NaN,None
44.97885,-93.20050,53,71.0,None
44.91245,-93.18561,72,63.0,None
44.96619,-93.17835,52,77.0,None
44.96500,-93.17396,67,77.0,None
44.93792,-93.14182,86,71.0,None
44.95402,-93.14130,78,64.0,None
44.97193,-93.14069,41,68.0,None
44.98898,-93.13579,32,50.0,None
44.97119,-93.13566,38,58.0,None
44.96225,-93.13114,64,68.0,None
44.93960,-93.12589,87,74.0,None
44.94793,-93.11269,79,71.0,None
44.96921,-93.06487,81,73.0,None
44.95412,-93.06229,57,60.0,None
44.97594,-93.05121,61,71.0,None
44.97457,-93.03850,61,68.0,None
45.00893,-93.03667,29,NaN,None
44.94577,-93.03131,19,32.0,None
44.90542,-93.00115,16,NaN,None
44.98376,-93.00048,4,NaN,None
44.92705,-92.99275,10,NaN,None
44.95480,-92.97985,18,NaN,None
45.01668,-92.97607,10,NaN,None
44.90750,-92.97421,19,NaN,None
44.98401,-92.96491,4,NaN,None
45.01924,-92.95534,1,NaN,None
44.93555,-92.92774,55,NaN,None
44.93566,-92.92311,21,NaN,None
44.88077,-92.91846,1,NaN,None
44.93578,-92.91426,27,NaN,None
44.91406,-92.87644,7,NaN,None
44.92438,-93.14131,61,64.0,None
44.92438,-93.13937,62,62.0,None
44.94161,-93.10286,88,74.0,None
44.92137,-93.10074,71,45.0,None
44.98984,-93.08111,17,51.0,None
44.98438,-93.07962,36,53.0,None
44.96305,-93.07823,76,79.0,None
45.00356,-93.04129,34,NaN,None
44.96752,-93.01549,34,53.0,None
44.96058,-93.01543,37,58.0,None
44.92737,-93.00000,17,NaN,None
44.97632,-92.99874,8,NaN,None
44.93912,-92.97785,30,NaN,None
45.00192,-92.97444,10,NaN,None
44.89178,-92.96595,4,NaN,None
44.91637,-92.94604,23,NaN,None
44.93309,-92.92312,24,NaN,None
44.90591,-92.91945,3,NaN,None
44.94365,-92.89961,53,NaN,None
44.93978,-92.89164,30,NaN,None
44.91718,-92.88575,9,NaN,None
44.92822,-93.16309,73,67.0,None
44.97164,-93.15924,39,54.0,None
44.98763,-93.14119,46,63.0,None
44.92610,-93.13364,69,69.0,None
44.99024,-93.12834,18,41.0,None
44.97783,-93.11473,52,51.0,None
44.94150,-93.11467,63,65.0,None
44.98114,-93.11165,50,47.0,None
44.92642,-93.07623,64,46.0,None
44.97904,-93.07496,77,53.0,None
44.99776,-93.06719,13,NaN,None
44.98417,-93.04045,54,65.0,None
44.95371,-93.03778,36,36.0,None
44.96927,-92.96446,42,NaN,None
45.01130,-92.96357,9,NaN,None
44.96781,-92.95090,29,NaN,None
44.91926,-92.95003,30,NaN,None
44.89497,-92.94849,6,NaN,None
44.96040,-92.94107,24,NaN,None
44.92379,-92.93622,38,NaN,None
44.94852,-93.49811,24,NaN,None
44.93530,-93.19201,51,79.0,None
44.93002,-93.18971,52,71.0,None
44.92979,-93.16077,69,69.0,None
44.92916,-93.13642,60,71.0,None
44.92894,-93.13197,65,70.0,None
44.92816,-93.13052,69,74.0,None
44.98535,-93.12847,25,42.0,None
44.98388,-93.11362,51,43.0,None
44.98415,-93.10703,69,53.0,None
44.92502,-93.10175,63,64.0,None
44.92304,-93.08352,48,35.0,None
45.02129,-93.04598,17,NaN,None
44.98377,-93.03940,35,54.0,None
44.97683,-93.02930,57,53.0,None
45.00582,-92.97791,18,NaN,None
44.96976,-92.97719,35,NaN,None
44.96794,-92.96762,43,NaN,None
44.99317,-92.94755,14,NaN,None
44.89157,-92.93458,5,NaN,None
44.91273,-92.93388,38,NaN,None
44.90740,-93.18775,41,61.0,None
44.93792,-93.18233,75,72.0,None
44.95403,-93.16960,83,78.0,None
44.93402,-93.16116,67,67.0,None
44.98734,-93.15804,56,55.0,None
44.95655,-93.13095,84,72.0,None
44.97026,-93.13020,49,61.0,None
44.94143,-93.12505,84,73.0,None
44.96938,-93.10265,64,55.0,None
44.94173,-93.10225,87,71.0,None
44.99430,-93.09393,35,NaN,None
44.92447,-93.09255,44,34.0,None
44.99946,-93.08152,22,NaN,None
44.98787,-93.04298,38,57.0,None
44.96796,-92.96568,46,NaN,None
44.91276,-92.93059,35,NaN,None
44.96063,-92.92453,0,NaN,None
44.93711,-92.88882,11,NaN,None
44.95683,-93.19875,45,68.0,None
44.91443,-93.17062,44,46.0,None
44.95655,-93.15272,76,75.0,None
44.97261,-93.14380,37,73.0,None
44.97400,-93.14379,37,71.0,None
44.92230,-93.14250,53,64.0,None
44.95671,-93.14138,81,67.0,None
44.99326,-93.06626,22,NaN,None
44.95973,-93.02412,48,54.0,None
44.91322,-92.99523,1,NaN,None
44.92623,-92.99181,10,NaN,None
45.01495,-92.98126,42,NaN,None
45.00356,-92.97524,8,NaN,None
44.91208,-92.97232,27,NaN,None
44.95528,-92.95218,25,NaN,None
44.98301,-92.94593,3,NaN,None
44.97133,-92.92038,0,NaN,None
44.94623,-92.91715,48,NaN,None
44.91659,-92.91333,13,NaN,None
44.93264,-92.91310,13,NaN,None
44.92673,-92.89646,7,NaN,None
44.92637,-93.19278,50,81.0,None
44.93075,-93.17963,56,71.0,None
44.98559,-93.15565,47,67.0,None
44.92966,-93.10345,42,45.0,None
44.93025,-93.09258,54,56.0,None
44.97665,-93.08508,57,59.0,None
44.97667,-93.08288,64,56.0,None
44.98528,-93.07643,46,58.0,None
44.98734,-93.06977,42,54.0,None
44.97745,-93.05718,70,68.0,None
44.95581,-93.03567,31,37.0,None
44.92129,-93.00076,8,NaN,None
45.00369,-92.98331,9,NaN,None
45.02317,-92.98221,37,NaN,None
44.94469,-92.98115,23,NaN,None
45.01863,-92.96384,9,NaN,None
45.01832,-92.95738,1,NaN,None
44.87228,-92.95169,0,NaN,None
44.91928,-92.94723,31,NaN,None
44.92468,-92.94703,26,NaN,None
44.90808,-92.94403,7,NaN,None
44.89195,-92.93243,5,NaN,None
44.91384,-92.93019,21,NaN,None
44.87956,-92.91662,0,NaN,None
44.89829,-92.91235,11,NaN,None
44.94096,-92.90186,51,NaN,None
44.93738,-93.17265,75,72.0,None
44.93705,-93.15888,64,69.0,None
44.95670,-93.15498,77,77.0,None
44.93272,-93.15159,52,65.0,None
44.94537,-93.14619,79,73.0,None
44.94586,-93.13594,83,63.0,None
44.99699,-93.09640,28,NaN,None
44.95008,-93.09574,96,54.0,None
44.92460,-93.07333,47,36.0,None
45.03273,-93.03475,38,NaN,None
44.94389,-92.99352,13,NaN,None
45.02671,-92.98100,24,NaN,None
45.00629,-92.97237,10,NaN,None
44.90584,-92.96742,20,NaN,None
44.97512,-92.95724,14,NaN,None
44.93724,-92.94463,50,NaN,None
44.96141,-92.93197,22,NaN,None
44.90398,-92.92970,5,NaN,None
44.89496,-92.92434,13,NaN,None
44.95296,-92.90793,5,NaN,None
44.94222,-92.89507,46,NaN,None
44.90104,-92.88507,2,NaN,None
44.91912,-93.17665,62,61.0,None
44.98500,-93.15700,49,64.0,None
44.93585,-93.15452,65,69.0,None
44.91806,-93.15417,35,46.0,None
44.99033,-93.15396,58,52.0,None
44.95745,-93.15048,71,72.0,None
44.92306,-93.13202,66,71.0,None
44.98037,-93.11343,45,47.0,None
44.99150,-93.10885,67,56.0,None
44.98661,-93.08336,26,63.0,None
44.97576,-93.08156,69,52.0,None
44.92783,-93.08138,75,40.0,None
44.98736,-93.02818,70,58.0,None
44.97909,-93.02225,41,56.0,None
44.96933,-93.01441,37,51.0,None
44.96460,-93.00532,40,63.0,None
45.00193,-92.98104,20,NaN,None
44.95903,-92.96785,45,NaN,None
45.02289,-92.95541,1,NaN,None
44.96697,-92.95146,34,NaN,None
44.92645,-92.93753,34,NaN,None
44.99087,-92.93380,2,NaN,None
44.93009,-92.92224,4,NaN,None
44.90909,-92.91255,7,NaN,None
44.94209,-92.89490,46,NaN,None
44.90078,-92.88367,5,NaN,None
44.94686,-93.15399,65,83.0,None
44.93796,-93.15058,78,72.0,None
44.92127,-93.14254,53,64.0,None
44.93753,-93.10964,65,69.0,None
44.95060,-93.09328,97,57.0,None
44.99796,-93.09082,27,NaN,None
44.96924,-93.06244,80,74.0,None
45.03184,-93.03298,50,NaN,None
44.96229,-93.02746,44,52.0,None
44.96750,-93.01633,38,52.0,None
45.00425,-92.98373,9,NaN,None
44.91179,-92.98062,18,NaN,None
45.02071,-92.96777,11,NaN,None
44.90465,-92.96688,17,NaN,None
44.88699,-92.94985,11,NaN,None
45.01180,-92.93054,0,NaN,None
44.87730,-92.91650,0,NaN,None
44.90006,-92.88351,4,NaN,None
45.00996,-92.88215,8,NaN,None
44.90336,-92.87308,11,NaN,None
44.98319,-93.20122,63,71.0,None
44.96186,-93.15311,45,65.0,None
44.96549,-93.14605,43,62.0,None
44.92230,-93.14255,53,64.0,None
44.96762,-93.11092,62,57.0,None
44.93161,-93.09936,34,46.0,None
44.94496,-93.09500,96,64.0,None
44.97191,-93.06363,78,64.0,None
44.97041,-93.05394,47,59.0,None
44.95928,-93.02451,48,54.0,None
44.92221,-93.00001,6,NaN,None
44.96464,-92.99959,33,NaN,None
44.94702,-92.99557,10,NaN,None
44.96979,-92.99206,30,NaN,None
45.00179,-92.97151,9,NaN,None
44.90954,-92.94505,9,NaN,None
44.90084,-92.94044,3,NaN,None
45.00827,-92.93770,1,NaN,None
44.93065,-92.93532,14,NaN,None
44.92773,-92.92461,12,NaN,None
44.95401,-92.91079,0,NaN,None
44.94080,-92.90172,49,NaN,None
44.93512,-92.88558,2,NaN,None
44.89805,-93.18229,34,44.0,None
44.98388,-93.16601,62,58.0,None
44.93264,-93.15159,52,65.0,None
44.95745,-93.13311,76,67.0,None
44.99325,-93.12344,12,NaN,None
44.96811,-93.11092,62,55.0,None
44.95237,-93.09070,94,60.0,None
44.97461,-93.02643,46,48.0,None
44.96610,-92.95135,34,NaN,None
44.91282,-92.93390,38,NaN,None
44.93591,-92.93011,62,NaN,None
44.92083,-92.90781,13,NaN,None
44.94224,-92.89462,46,NaN,None
44.94586,-93.16152,75,80.0,None
44.98323,-93.13735,28,66.0,None
44.95017,-93.13431,70,58.0,None
44.96190,-93.08334,56,63.0,None
44.97018,-93.07225,86,73.0,None
44.92020,-93.07157,33,32.0,None
45.00220,-93.06627,9,NaN,None
44.95328,-93.06398,52,60.0,None
44.97924,-93.06318,76,64.0,None
44.98183,-93.06191,63,76.0,None
44.94782,-93.03081,37,45.0,None
44.98374,-93.02610,65,61.0,None
44.98375,-93.01450,27,58.0,None
45.03295,-93.00026,15,NaN,None
44.97812,-92.97387,3,NaN,None
44.91177,-92.97360,27,NaN,None
44.90566,-92.97115,18,NaN,None
44.98571,-92.96756,5,NaN,None
44.91109,-92.96693,25,NaN,None
44.90808,-92.95227,6,NaN,None
44.92088,-92.95217,40,NaN,None
44.88594,-92.94958,10,NaN,None
44.90629,-92.93588,2,NaN,None
44.92140,-93.19058,80,77.0,None
44.96089,-93.16992,84,80.0,None
44.94510,-93.16786,82,79.0,None
44.95655,-93.15226,76,75.0,None
44.95783,-93.13163,79,69.0,None
44.96095,-93.12870,74,71.0,None
44.94381,-93.11708,80,75.0,None
44.93328,-93.08756,71,49.0,None
44.98729,-93.08372,25,62.0,None
44.95688,-93.03725,36,37.0,None
44.94649,-93.02169,32,57.0,None
44.95875,-93.01869,47,60.0,None
44.97817,-93.01564,18,50.0,None
44.98837,-93.01026,11,53.0,None
44.95449,-93.00574,49,70.0,None
44.92669,-93.00237,19,NaN,None
44.90873,-92.97625,21,NaN,None
44.90211,-92.96576,16,NaN,None
44.96491,-92.96560,55,NaN,None
44.97479,-92.95550,14,NaN,None
44.94226,-92.95084,36,NaN,None
44.89408,-92.94581,7,NaN,None
44.93936,-92.94390,52,NaN,None
44.90013,-92.90845,11,NaN,None
44.89358,-92.90446,1,NaN,None
44.93992,-92.89189,30,NaN,None
44.90319,-92.88962,3,NaN,None
45.02584,-92.85942,12,NaN,None
44.94597,-93.17347,80,78.0,None
44.98991,-93.14975,71,60.0,None
44.95927,-93.13964,67,62.0,None
44.97981,-93.13672,27,64.0,None
44.96952,-93.12144,50,71.0,None
44.99544,-93.09478,31,NaN,None
44.98434,-93.08674,30,68.0,None
44.95231,-93.05668,56,59.0,None
45.03624,-93.03247,42,NaN,None
45.03184,-93.03127,56,NaN,None
44.95670,-93.02960,47,43.0,None
44.96433,-93.01988,37,57.0,None
44.98871,-93.01977,63,65.0,None
44.91502,-93.00504,7,27.0,None
44.90582,-92.99492,1,NaN,None
44.96328,-92.97635,34,NaN,None
44.89267,-92.89390,1,NaN,None
44.90091,-92.87365,6,NaN,None
44.96088,-93.16351,81,80.0,None
44.94405,-93.15798,70,80.0,None
44.96727,-93.15650,49,58.0,None
44.96278,-93.13037,64,68.0,None
44.93420,-93.11599,55,73.0,None
44.95144,-93.09396,95,53.0,None
44.97223,-93.07450,85,59.0,None
44.97551,-93.06370,79,54.0,None
44.96496,-93.05285,40,66.0,None
44.99346,-93.05072,13,NaN,None
44.96485,-93.03134,39,40.0,None
44.97953,-93.02347,46,51.0,None
44.91338,-93.00729,7,27.0,None
44.95650,-93.00727,40,70.0,None
44.91017,-92.97603,23,NaN,None
44.95850,-92.97460,24,NaN,None
44.89154,-92.96666,4,NaN,None
44.95316,-92.94901,20,NaN,None
44.92396,-92.93612,38,NaN,None
44.95196,-92.92287,9,NaN,None
44.87433,-92.92206,0,NaN,None
44.90925,-92.91973,4,NaN,None
44.90583,-92.88999,2,NaN,None
44.94300,-93.18214,73,75.0,None
44.99082,-93.14033,59,53.0,None
44.93427,-93.13605,65,58.0,None
44.97158,-93.13369,41,60.0,None
44.99025,-93.13318,28,44.0,None
44.99184,-93.10967,63,NaN,None
44.95868,-93.07950,71,70.0,None
44.97279,-93.02165,40,47.0,None
44.98769,-93.02137,67,65.0,None
44.98180,-92.97805,28,NaN,None
44.90323,-92.96880,12,NaN,None
45.01492,-92.95616,0,NaN,None
44.94468,-92.94576,36,NaN,None
44.94291,-92.94566,39,NaN,None
44.89659,-92.88366,2,NaN,None
44.94461,-93.13670,84,67.0,None
44.98502,-93.12722,25,43.0,None
44.97814,-93.11241,55,50.0,None
44.97912,-93.08127,62,49.0,None
44.97856,-93.07136,76,54.0,None
44.95666,-93.05950,59,53.0,None
45.01628,-93.05645,16,NaN,None
44.98751,-93.05105,14,58.0,None
44.96419,-93.02357,44,53.0,None
44.98218,-93.01986,40,59.0,None
44.98766,-93.01805,58,64.0,None
44.96789,-93.01718,37,49.0,None
44.99127,-93.01247,29,54.0,None
44.98310,-92.97361,12,NaN,None
44.97365,-92.95344,18,NaN,None
44.91404,-92.93049,41,NaN,None
44.95499,-92.91170,0,NaN,None
45.01250,-92.87017,7,NaN,None
44.93086,-93.19237,44,77.0,None
44.90635,-93.18352,33,56.0,None
44.90480,-93.18119,39,52.0,None
44.94951,-93.13971,73,58.0,None
44.91974,-93.13282,51,72.0,None
44.97836,-93.11241,49,48.0,None
44.92523,-93.10160,63,64.0,None
44.92377,-93.07862,57,40.0,None
44.97523,-93.07635,80,46.0,None
44.99589,-93.04856,22,NaN,None
44.96602,-93.04252,34,53.0,None
44.94386,-93.02722,35,48.0,None
44.90560,-92.99854,2,NaN,None
44.97609,-92.97769,38,NaN,None
45.00077,-92.97443,10,NaN,None
44.98659,-92.96897,3,NaN,None
44.90636,-92.96840,22,NaN,None
44.90749,-92.96594,21,NaN,None
44.91304,-92.95849,17,NaN,None
45.02537,-92.95639,0,NaN,None
44.92207,-92.93107,58,NaN,None
44.89538,-92.87801,1,NaN,None
45.00852,-92.86359,16,NaN,None
44.98308,-93.19755,72,72.0,None
44.94717,-93.14209,75,64.0,None
44.92934,-93.13529,61,75.0,None
44.94278,-93.12913,87,67.0,None
44.92114,-93.10074,74,50.0,None
44.95413,-93.05657,56,55.0,None
44.98736,-93.02700,71,58.0,None
44.96682,-93.01650,38,52.0,None
45.00565,-92.97187,4,NaN,None
44.95447,-92.92261,0,NaN,None
44.95224,-92.92215,14,NaN,None
44.90910,-92.91847,4,NaN,None
44.90538,-92.91762,3,NaN,None
44.95878,-92.90394,2,NaN,None
46.71329,13.63371,29,NaN,None
44.93529,-93.17872,74,71.0,None
44.92858,-93.15005,70,67.0,None
44.96322,-93.14343,55,65.0,None
44.94586,-93.13784,81,64.0,None
44.96740,-93.11288,59,59.0,None
44.93694,-93.11186,65,77.0,None
44.97661,-93.11091,60,51.0,None
44.98370,-93.07183,64,58.0,None
44.97108,-93.05220,46,60.0,None
45.00394,-93.05030,19,NaN,None
44.98222,-93.01426,21,55.0,None
44.95837,-93.01345,46,67.0,None
44.91111,-92.98303,14,NaN,None
44.90571,-92.97087,18,NaN,None
45.01860,-92.96742,9,NaN,None
44.90964,-92.96576,23,NaN,None
45.02042,-92.95491,2,NaN,None
44.91630,-92.94536,23,NaN,None
44.94503,-92.92000,56,NaN,None
44.92913,-92.87862,1,NaN,None
44.92423,-92.87555,1,NaN,None
44.90121,-92.87352,6,NaN,None
44.90144,-93.18179,48,67.0,None
44.91262,-93.17069,42,43.0,None
44.94845,-93.15348,59,78.0,None
44.95718,-93.14705,79,73.0,None
44.93487,-93.13077,70,63.0,None
44.94082,-93.11654,70,65.0,None
44.98303,-93.10727,65,51.0,None
44.99595,-93.04047,30,NaN,None
44.98752,-93.02707,71,58.0,None
44.96819,-93.01627,37,49.0,None
44.92188,-93.00871,2,27.0,None
44.90872,-92.97625,21,NaN,None
44.95798,-92.97219,30,NaN,None
44.90583,-92.96738,20,NaN,None
44.93846,-92.94468,50,NaN,None
44.93598,-92.93047,64,NaN,None
44.90119,-92.89897,8,NaN,None
44.89479,-92.87880,1,NaN,None
