,Tuition,PCTPELL
265,17219.0,0.4621
266,25260.0,0.1990
267,23345.0,0.3133
268,15201.0,0.3390
269,16996.0,0.4875
270,32575.0,0.1519
271,24556.0,0.1948
272,20879.0,0.2339
273,21698.0,0.3628
274,17533.0,0.3230
275,17605.0,0.2897
276,20588.0,0.3057
277,22685.0,0.3272
278,19983.0,0.3408
279,14961.0,0.3121
280,12861.0,0.3721
281,21890.0,0.3435
282,23834.0,0.6678
283,11990.0,0.3331
284,12143.0,0.4343
285,9899.0,0.3072
286,10035.0,0.3354
287,15349.0,0.1604
288,8549.0,0.3038
289,11534.0,0.3485
290,9263.0,0.3280
291,20203.0,0.3681
292,19193.0,0.2742
293,26318.0,0.4004
294,29727.0,0.1051
295,23867.0,0.1268
296,11207.0,0.3252
297,9625.0,0.2266
298,36068.0,0.1667
299,16197.0,0.4148
300,16530.0,0.4826
301,25332.0,0.2205
302,25709.0,0.1759
303,25583.0,0.1713
304,20626.0,0.2504
305,20373.0,0.2695
306,19869.0,0.4747
307,20618.0,0.2495
308,23799.0,0.3656
309,20496.0,0.2941
310,24559.0,0.3361
311,23777.0,0.2695
312,27303.0,0.1593
313,22006.0,0.4414
314,13940.0,0.5000
315,13261.0,0.4560
316,16666.0,0.4159
317,17251.0,0.3898
318,23192.0,0.2220
319,13997.0,0.2134
320,22620.0,0.4820
321,14085.0,0.1918
322,18325.0,0.2389
323,24974.0,0.1866
324,20899.0,0.3376
325,18102.0,0.3470
326,15961.0,0.2631
327,20464.0,0.2913
328,24479.0,0.2539
329,22120.0,0.2711
330,17737.0,0.4402
331,20832.0,0.5323
332,22896.0,0.2210
333,21249.0,0.3912
334,24221.0,0.2096
335,19832.0,0.4073
336,14409.0,0.3919
337,16474.0,0.4093
338,18755.0,0.2289
339,13906.0,0.1611
340,20514.0,0.4258
341,18609.0,0.3987
342,20003.0,0.4200
343,18597.0,0.3830
344,14850.0,0.3250
345,22807.0,0.3741
346,17648.0,0.4597
347,21434.0,0.3385
348,14945.0,0.3607
349,10968.0,0.5495
350,25897.0,0.3281
351,23494.0,0.2476
352,4222.0,0.8328
353,10731.0,0.5700
354,16674.0,0.4261
355,23062.0,0.1449
356,16357.0,0.3992
357,11647.0,0.4336
358,19210.0,0.3687
359,8770.0,0.6397
360,17719.0,0.5049
361,16298.0,0.2479
362,19282.0,0.4682
363,15782.0,0.2894
364,11870.0,0.3767
365,9808.0,0.3303
366,8966.0,0.3339
367,17342.0,0.4474
368,19081.0,0.4474
369,18750.0,0.2905
370,20660.0,0.5333
371,10948.0,0.3539
372,25112.0,0.3454
373,17715.0,0.7725
374,16527.0,0.8128
375,7370.0,0.4197
376,11355.0,0.2028
377,6932.0,0.3570
378,14202.0,0.4213
379,9233.0,0.2147
380,24610.0,0.3101
381,9485.0,0.3489
382,8891.0,0.3251
383,10625.0,0.3793
384,7859.0,0.3448
385,9966.0,0.3995
386,15881.0,0.3335
387,10254.0,0.3355
388,12666.0,0.6776
389,8224.0,0.7451
390,9459.0,0.3203
391,32475.0,0.1518
392,17222.0,0.5329
393,25530.0,0.1132
394,13012.0,0.3240
395,15955.0,0.3297
396,23175.0,0.2937
397,31266.0,0.1950
398,26358.0,0.2210
399,16528.0,0.3672
400,14473.0,0.4428
401,13737.0,0.5222
402,15471.0,0.3429
403,16307.0,0.5183
404,9055.0,0.6215
405,17186.0,0.3628
406,34455.0,0.1229
407,18827.0,0.2766
408,15634.0,0.1941
409,36948.0,0.2322
410,15453.0,0.5431
411,16225.0,0.6200
412,29049.0,0.2033
413,19354.0,0.3011
414,21049.0,0.1756
415,17516.0,0.2652
416,26475.0,0.3170
417,20096.0,0.3107
418,20943.0,0.5187
419,18848.0,0.2254
420,31884.0,0.1628
421,23874.0,0.4419
422,27752.0,0.3919
423,32713.0,0.1562
424,33661.0,0.1250
425,34910.0,0.1317
426,28370.0,0.1960
427,18745.0,0.3691
428,29464.0,0.2552
429,18677.0,0.4981
430,39148.0,0.1642
431,13923.0,0.3846
432,17967.0,0.3183
433,27418.0,0.2200
434,17882.0,0.1165
435,24150.0,0.3276
436,30616.0,0.2639
437,18005.0,0.2810
438,18869.0,0.2368
439,11789.0,0.4185
440,35360.0,0.2965
441,22323.0,0.2705
442,22968.0,0.1786
443,17224.0,0.1870
444,26850.0,0.3729
445,16069.0,0.4654
446,28869.0,0.1240
447,21102.0,0.4340
448,22810.0,0.5236
449,29461.0,0.2509
450,27047.0,0.2315
451,16517.0,0.3967
452,29563.0,0.2939
453,29565.0,0.1198
454,25429.0,0.1937
455,35232.0,0.2643
456,28053.0,0.2950
457,16808.0,0.2751
458,27466.0,0.3786
459,23924.0,0.1805
460,17495.0,0.3006
461,23128.0,0.4145
462,22232.0,0.2737
463,22080.0,0.3037
464,21177.0,0.2726
465,16624.0,0.3253
466,24177.0,0.2260
467,14509.0,0.3543
468,10182.0,0.4671
469,20434.0,0.3577
470,33309.0,0.3405
471,22524.0,0.2922
472,12675.0,0.4388
473,13306.0,0.4009
474,34029.0,0.2465
475,18505.0,0.4043
476,16491.0,0.3468
477,23994.0,0.2055
478,10381.0,0.3913
479,26876.0,0.1726
480,14104.0,0.3288
481,14455.0,0.6942
482,16211.0,0.4686
483,14521.0,0.1538
484,16788.0,0.2211
485,15237.0,0.2520
486,12220.0,0.4400
487,14223.0,0.4199
488,12468.0,0.3738
489,22526.0,0.4131
490,11929.0,0.3165
491,20320.0,0.4910
492,17932.0,0.4142
493,14579.0,0.4095
494,16683.0,0.3963
495,18156.0,0.4478
496,23275.0,0.5274
497,13258.0,0.4649
498,16870.0,0.3829
499,23536.0,0.4002
500,14720.0,0.3378
501,16294.0,0.3936
502,26602.0,0.2571
503,28892.0,0.1313
504,17612.0,0.3523
505,21150.0,0.3622
506,24934.0,0.1655
507,15178.0,0.2816
508,17015.0,0.2026
509,13075.0,0.2204
510,25795.0,0.3690
511,16551.0,0.2343
512,13418.0,0.2807
513,15240.0,0.3033
514,19196.0,0.4052
515,23664.0,0.2216
516,17400.0,0.5887
517,23305.0,0.2401
518,13786.0,0.2950
519,22530.0,0.1923
520,20200.0,0.2516
521,23452.0,0.1496
522,21577.0,0.4942
523,21914.0,0.3161
524,28374.0,0.1809
525,23046.0,0.3861
526,14909.0,0.1308
527,17393.0,0.2631
528,14838.0,0.7661
529,10978.0,0.4981
530,12840.0,0.4262
531,13142.0,0.6629
532,21209.0,0.2135
533,14284.0,0.2661
534,10874.0,0.4832
535,10880.0,0.7183
536,15375.0,0.3345
537,16035.0,0.3261
538,9777.0,0.8941
539,12175.0,0.4855
540,13117.0,0.9333
541,16557.0,0.6454
542,19608.0,0.3959
543,12620.0,0.5378
544,10335.0,0.5874
545,19513.0,0.4211
546,14794.0,0.3661
547,36435.0,0.5000
548,27422.0,0.3978
549,17289.0,0.4684
550,19030.0,0.4723
551,21466.0,0.5296
552,21749.0,0.4805
553,15615.0,0.3322
554,30384.0,0.4473
555,22125.0,0.3330
